time,reading
1688276469.1803355,0
1688276469.1814516,0
1688276469.1825657,0
1688276469.1836789,0
1688276469.1847923,0
1688276469.185908,0
1688276469.1870215,0
1688276469.1881351,0
1688276469.1892514,0
1688276469.1903656,0
1688276469.191479,0
1688276469.1925929,0
1688276469.1937087,0
1688276469.1948225,0
1688276469.1959362,0
1688276469.197052,0
1688276469.198165,0
1688276469.1992784,0
1688276469.2003934,0
1688276469.2015095,0
1688276469.2026236,0
1688276469.2037368,0
1688276469.20485,0
1688276469.2059667,0
1688276469.2070804,0
1688276469.2081935,0
1688276469.209309,0
1688276469.2104228,0
1688276469.211536,0
1688276469.2126486,0
1688276469.213765,0
1688276469.2148786,0
1688276469.2159927,0
1688276469.2172484,0
1688276469.2184594,0
1688276469.2196522,0
1688276469.2208297,0
1688276469.2220182,0
1688276469.2232313,0
1688276469.2244139,0
1688276469.2255564,0
1688276469.2267017,0
1688276469.2278457,0
1688276469.2321534,0
1688276469.2333748,0
1688276469.2346108,0
1688276469.2358634,0
1688276469.2370682,0
1688276469.238232,0
1688276469.2394063,0
1688276469.2406626,0
1688276469.241826,0
1688276469.242994,0
1688276469.2441723,0
1688276469.2453854,0
1688276469.2466555,0
1688276469.2479432,0
1688276469.2491777,0
1688276469.2504706,0
1688276469.2517073,0
1688276469.2530055,0
1688276469.2541995,0
1688276469.25541,0
1688276469.256595,0
1688276469.2580106,0
1688276469.2592585,0
1688276469.2604914,0
1688276469.2617092,0
1688276469.263209,0
1688276469.264434,0
1688276469.2656918,0
1688276469.266952,0
1688276469.268156,0
1688276469.269323,0
1688276469.2704875,0
1688276469.2716572,0
1688276469.2728214,0
1688276469.2739651,0
1688276469.275092,0
1688276469.2762108,0
1688276469.2773228,0
1688276469.2784698,0
1688276469.2796493,0
1688276469.2808118,0
1688276469.2819743,0
1688276469.2831874,0
1688276469.2843714,0
1688276469.2855153,0
1688276469.2866645,0
1688276469.2878144,0
1688276469.2889946,0
1688276469.2901444,0
1688276469.2912815,0
1688276469.2924337,0
1688276469.2935762,0
1688276469.2947178,0
1688276469.2958448,0
1688276469.2969916,0
1688276469.2981312,0
1688276469.2992818,0
1688276469.3004363,0
1688276469.3015854,0
1688276469.3027625,0
1688276469.3039043,0
1688276469.3050277,0
1688276469.3061442,0
1688276469.3072596,0
1688276469.30841,0
1688276469.3096328,0
1688276469.3108237,0
1688276469.312017,0
1688276469.3131878,0
1688276469.3143508,0
1688276469.3154821,0
1688276469.3166282,0
1688276469.3177633,0
1688276469.318959,0
1688276469.3200843,0
1688276469.3211892,0
1688276469.3223035,0
1688276469.3234289,0
1688276469.324568,0
1688276469.3256927,0
1688276469.3268223,0
1688276469.3279514,0
1688276469.329067,0
1688276469.3301928,0
1688276469.3313177,0
1688276469.33243,0
1688276469.3335304,0
1688276469.3346236,0
1688276469.3357153,0
1688276469.3368409,0
1688276469.3380015,0
1688276469.339151,0
1688276469.3402903,0
1688276469.3414352,0
1688276469.342568,0
1688276469.343682,0
1688276469.3447752,0
1688276469.3458712,0
1688276469.3469667,0
1688276469.348059,0
1688276469.3491497,0
1688276469.350243,0
1688276469.351334,0
1688276469.3524249,0
1688276469.3535194,0
1688276469.354609,0
1688276469.3556979,0
1688276469.3567867,0
1688276469.3578784,0
1688276469.3589706,0
1688276469.3600614,0
1688276469.361152,0
1688276469.3622427,0
1688276469.363411,0
1688276469.3645039,0
1688276469.3655949,0
1688276469.366684,0
1688276469.367771,0
1688276469.368858,0
1688276469.369945,0
1688276469.3710306,0
1688276469.3721156,0
1688276469.3732033,0
1688276469.3742929,0
1688276469.3753803,0
1688276469.3764677,0
1688276469.377555,0
1688276469.3786404,0
1688276469.379726,0
1688276469.3808107,0
1688276469.3818986,0
1688276469.3829873,0
